
0.029R0
0.037R9.0068
0.042R11.9019
0.049R23.8131
0.057R35.0872
0.064R49.4814
0.072R60.1832
0.08R70.8332
0.088R81.4403
0.093R87.8119
0.1R93.3334
0.11R101.5153
0.118R108.7577
0.124R112.9015
0.132R117.4233
0.141R121.7489
0.149R128.6347
0.158R130.8016
0.166R134.5384
0.174R137.9316
0.179R140.5948
0.188R141.8434
0.196R144.5576
0.201R146.7668
0.21R148.4135
0.217R151.3067
0.225R153.3325
0.231R152.2371
0.239R156.2066
0.248R156.5866
0.254R158.1357
0.262R159.0327
0.27R160.4936
0.278R161.8705
0.283R163.1337
0.29R163.7926
0.298R164.4293
0.304R165.5704
0.314R166.6668
0.323R167.1829
0.33R168.1824
0.335R169.6513
0.344R170.0579
0.351R169.9907
0.359R171.7736
0.368R172.1017
0.376R172.8727
0.384R173.1765
0.39R173.9314
0.397R174.6432
0.404R174.9178
0.409R175.6313
0.418R175.8371
0.426R176.4475
0.433R176.2897
0.438R176.9403
0.445R177.9024
0.453R178.4399
0.461R178.9588
0.47R178.7236
0.478R179.2193
0.486R179.6986
0.491R180.2442
0.5R180.3333
0.508R180.7743
0.513R181.2869
0.524R181.298
0.532R181.7046
0.54R182.0984
0.546R182.2344
0.553R182.9416
0.564R182.9196
0.57R183.0412
0.581R183.8784
0.589R184.2106
0.597R184.534
0.602R184.1084
0.609R184.729
0.616R184.7946
0.626R183.7058
0.631R185.4197
0.639R184.9243
0.647R185.2139
0.652R185.8387
0.66R185.8583
0.669R186.5972
0.678R185.8406
0.683R186.9204
0.691R186.9272
0.699R187.1723
0.705R187.4701
0.712R187.2658
0.721R187.2399
0.731R186.2747
0.737R187.4719
0.745R187.696
0.753R187.9147
0.758R188.2145
0.767R188.8308
0.775R188.3872
0.786R188.2952
0.792R188.9732
0.799R188.7774
0.807R189.5913
0.812R189.4499
0.82R189.431
0.827R189.44
0.836R188.7958
0.841R190.0514
0.849R189.8312
0.857R190.004
0.862R190.255
0.869R190.6404
0.879R190.7468
0.888R190.1276
0.893R190.9295
0.901R191.0841
0.909R190.8693
0.914R191.1013
0.922R191.2509
0.929R191.4245
0.939R190.2732
0.944R191.5605
0.951R191.9031
0.959R191.519
0.964R191.736
0.973R191.675
0.982R191.9554
0.994R191.8177
1R192.1664
1.008R192.2948
1.016R192.4211
1.022R192.5962
1.034R192.6176
1.044R192.6882
1.052R192.4905
1.058R192.9742
1.067R192.7524
1.074R193.048
1.079R193.3888
1.089R192.9905
1.097R193.5581
1.105R192.9111
1.11R193.3932
1.118R193.5001
1.127R193.4338
1.132R193.6102
1.142R193.6661
1.151R194.0341
1.159R193.7016
1.165R193.7052
1.173R194.2315
1.181R194.1856
1.187R194.3274
1.198R193.9344
1.205R194.4675
1.212R194.0317
1.218R194.4443
1.225R194.2857
1.233R194.6472
1.239R194.377
1.247R194.7342
1.257R194.7761
1.265R194.2029
1.27R194.7507
1.278R194.8358
1.287R194.7683
1.292R194.9173
1.303R195.1907
1.31R195.0381
1.318R194.7395
1.324R195.1159
1.332R195.1953
1.339R195.4196
1.345R195.1673
1.353R195.122
